DateTime,AddedIPs,RemovedIPs
1660794485,5,6
1660795216,3,3
1660795927,4,3
1660796647,7,3
1660797366,1,2
1660798086,1,4
1660798808,6,0
1660799531,5,4
1660800246,5,8
1660800966,5,2
1660802408,3,7
1660803156,3,1
1660803871,3,1
1660804591,3,0
1660805310,1,4
1660806040,5,0
1660806747,0,4
1660807476,2,2
1660808189,5,5
1660808911,0,3
1660809638,1,0
1660810349,2,0
1660811071,3,4
1660811792,3,0
1660812511,0,2
1660813232,2,1
1660813951,1,2
1660814675,6,2
1660815391,0,4
1660816113,1,0
1660816838,2,2
1660817548,0,4
1660818270,4,3
1660818991,6,3
1660819708,2,2
1660820444,7,4
1660821154,1,4
1660821873,2,5
1660822595,5,6
1660823309,3,3
1660824029,2,1
1660824752,2,3
1660825471,5,3
1660826192,1,1
1660826913,5,2
1660827636,4,0
1660828347,4,6
1660829073,5,2
1660829791,4,1
1660830507,1,5
1660831237,5,3
1660831948,2,0
1660832671,3,5
1660833389,2,4
1660834119,3,1
1660835073,4,4
1660835788,3,1
1660836514,3,2
1660837229,3,1
1660837958,0,3
1660838670,2,3
1660839389,1,2
1660840108,1,0
1660840828,3,1
1660841549,3,4
1660842273,6,3
1660842988,2,2
1660843711,3,4
1660844430,2,3
1660845148,5,0
1660845872,5,3
1660846589,4,3
1660847314,4,4
1660848032,3,5
1660848748,0,3
1660849481,4,0
1660850190,5,2
1660850909,2,0
1660851630,3,3
1660852592,3,2
1660853553,3,2
1660854274,0,4
1660854991,4,3
1660855711,6,2
1660856432,4,3
1660857148,2,8
1660857877,2,2
1660858589,2,2
1660859311,3,6
1660860041,4,2
1660860748,3,3
1660861475,6,3
1660862190,4,0
1660862907,2,6
1660863639,2,5
1660864591,6,2
1660865315,1,7
1660866034,2,3
1660866752,12,5
1660867474,1,4
1660868188,5,6
1660868908,2,5
1660869635,4,2
1660870348,3,4
1660871070,4,4
1660871791,3,7
1660872511,2,6
1660873228,6,6
1660873954,2,6
1660874674,3,10
1660875389,0,7
1660876113,6,6
1660876839,2,4
1660877555,5,6
1660878270,4,5
1660878987,4,4
1660879712,4,2
1660880428,5,3
1660881148,1,6
1660881876,4,3
1660882589,4,5
1660883310,3,6
1660884035,4,1
1660884748,5,3
1660885472,3,2
1660886189,4,3
1660886910,1,1
1660887632,5,0
1660888355,5,2
1660889075,4,3
1660889793,6,6
1660890509,7,0
1660891228,6,0
1660891951,2,1
1660892670,3,2
1660894118,1,3
1660894832,4,1
1660895554,1,2
1660896273,7,2
1660896991,2,1
1660897713,5,6
1660898433,3,2
1660899148,3,0
1660899877,2,3
1660900588,2,3
1660901315,2,0
1660902035,2,1
1660902753,1,3
1660903471,2,2
1660904189,1,4
1660904915,3,1
1660905632,1,1
1660906349,2,3
1660907074,2,5
1660907793,1,3
1660908515,1,2
1660909229,4,5
1660909949,2,3
1660910671,2,3
1660911390,0,3
1660912108,3,1
1660912829,3,1
1660913552,0,3
1660914273,6,3
1660914988,4,3
1660915710,3,0
1660916433,4,7
1660917150,2,1
1660917871,4,1
1660918591,4,5
1660919316,3,1
1660920034,3,2
1660920749,4,1
1660921474,2,0
1660922188,2,4
1660922912,2,0
1660923632,2,4
1660924348,4,0
1660925315,4,4
1660926032,5,1
1660926748,1,2
1660927469,1,4
1660928193,2,2
1660928908,2,5
1660929633,1,4
1660930349,2,3
1660931072,0,4
1660931791,2,4
1660932512,3,4
1660933231,3,2
1660933953,8,2
1660934674,0,2
1660935391,6,2
1660936109,1,6
1660936829,2,2
1660937548,2,4
1660938274,1,5
1660938990,4,0
1660939709,1,5
1660940429,5,3
1660941152,3,0
1660941874,3,7
1660942593,4,10
1660943554,5,10
1660944270,3,0
1660944994,0,4
1660945716,2,3
1660946444,5,3
1660947148,3,0
1660947870,2,3
1660948591,3,8
1660949312,3,2
1660950032,3,0
1660950750,3,3
1660951470,2,6
1660952191,2,1
1660952910,2,1
1660953632,4,6
1660954348,2,4
1660955075,1,4
1660955790,2,2
1660956518,4,6
1660957239,2,6
1660957957,6,3
1660958673,9,6
1660959393,4,12
1660960110,4,3
1660960837,2,8
1660961547,3,7
1660962274,2,4
1660962992,2,3
1660963712,1,1
1660964441,6,10
1660965394,10,4
1660966113,3,3
1660966832,4,6
1660967551,1,2
1660968273,4,0
1660968987,5,3
1660969712,5,4
1660970433,5,0
1660971151,6,7
1660971875,1,3
1660972587,1,0
1660973311,2,4
1660974031,9,0
1660974754,3,0
1660975475,1,2
1660976192,0,6
1660976908,4,1
1660977629,2,2
1660978348,4,0
1660979070,1,4
1660979788,6,2
1660980515,1,0
1660981232,1,5
1660981953,2,0
1660982672,1,4
1660983389,1,3
1660984112,4,3
1660984832,1,2
1660985552,4,6
1660986275,2,0
1660986987,2,4
1660987714,4,4
1660988430,1,3
1660989148,7,1
1660989874,1,5
1660990589,3,0
1660991307,3,0
1660992035,3,7
1660992752,3,5
1660994188,2,1
1660994914,1,1
1660995629,4,3
1660996356,5,6
1660997071,2,0
1660997788,5,1
1660998513,2,5
1660999230,1,1
1660999948,3,0
1661000674,5,2
1661001394,3,1
1661002112,4,4
1661002828,1,0
1661003548,8,0
1661004274,0,3
1661004989,1,0
1661005710,2,5
1661006430,3,4
1661007148,5,4
1661007875,1,3
1661008594,0,3
1661009309,4,0
1661010032,3,2
1661010753,1,10
1661011471,2,0
1661012192,2,2
1661012910,5,2
1661013636,3,1
1661014355,5,1
1661015070,3,4
1661015790,1,2
1661016516,4,2
1661017233,3,3
1661017951,4,1
1661018672,4,5
1661019391,2,4
1661020110,0,4
1661020830,3,2
1661021549,3,2
1661022271,4,2
1661022990,1,2
1661023714,2,2
1661024676,7,8
1661025392,4,3
1661026109,4,0
1661026829,2,3
1661027548,3,2
1661028269,3,3
1661028990,2,2
1661029712,4,4
1661030436,5,2
1661031149,5,6
1661031875,1,3
1661032589,4,2
1661033309,7,0
1661034277,4,7
1661034991,4,0
1661035717,0,3
1661036441,3,4
1661037154,3,0
1661037871,1,2
1661038594,4,5
1661039311,6,4
1661040039,2,7
1661040752,1,1
1661041474,4,0
1661042190,5,9
1661042911,6,0
1661043644,3,6
1661045071,4,2
1661045791,6,7
1661046510,5,4
1661047234,6,4
1661048193,6,13
1661048911,8,4
1661049631,3,0
1661050349,2,6
1661051069,4,3
1661051788,3,0
1661052511,9,1
1661053235,2,9
1661053951,2,2
1661054671,4,0
1661055392,6,10
1661056108,9,0
1661056831,0,3
1661057550,1,3
1661058274,3,2
1661058988,2,2
1661059711,4,0
1661061148,6,4
1661061878,2,7
1661062588,2,0
1661063557,5,5
1661064271,4,0
1661064989,4,2
1661065708,2,3
1661066428,3,3
1661067148,2,1
1661067871,3,2
1661068595,3,1
1661069310,3,1
1661070031,4,2
1661070755,1,0
1661071712,5,1
1661072442,5,0
1661073150,1,6
1661073870,3,4
1661074598,0,1
1661075554,4,4
1661076270,2,0
1661076992,3,4
1661077711,4,3
1661078438,3,3
1661079870,4,2
1661080589,3,4
1661081313,2,0
1661082033,2,6
1661083470,3,2
1661084188,5,1
1661084909,6,3
1661085872,2,6
1661086588,2,2
1661087310,4,3
1661088029,1,2
1661088751,3,4
1661089471,4,1
1661090194,6,2
1661090908,5,4
1661091631,1,1
1661092348,3,3
1661093074,4,2
1661093789,3,2
1661094510,1,2
1661095229,0,3
1661095954,2,4
1661096669,1,2
1661097397,0,2
1661098356,7,5
1661099071,4,6
1661099793,2,0
1661100536,3,6
1661101241,1,1
1661101951,4,1
1661102674,5,0
1661103394,1,4
1661104112,3,6
1661104841,0,1
1661105554,4,6
1661106270,3,3
1661106996,8,3
1661107710,1,5
1661108430,7,2
1661109393,7,5
1661110115,1,4
1661110834,3,0
1661111554,4,7
1661112270,1,2
1661112990,1,5
1661113714,1,4
1661114431,1,2
1661115151,2,3
1661115875,1,3
1661116591,3,3
1661117316,4,5
1661118031,7,2
1661118749,4,5
1661119473,6,6
1661120190,1,5
1661120911,1,3
1661121632,1,4
1661122348,5,2
1661123074,5,2
1661123788,3,2
1661124512,4,3
1661125231,3,3
1661125952,5,5
1661126672,1,1
1661127388,1,6
1661128112,3,9
1661128834,1,7
1661129548,2,3
1661130272,3,6
1661131229,8,7
1661131949,10,7
1661132676,3,6
1661133390,2,7
1661134109,5,7
1661134834,2,2
1661135549,9,4
1661136271,7,0
1661137240,2,4
1661137948,7,4
1661138672,3,2
1661139391,1,4
1661140109,3,3
1661140837,5,2
1661141551,7,4
1661142275,3,1
1661142990,1,3
1661143710,3,4
1661144496,3,1
1661145391,2,7
1661146109,6,0
1661146832,5,4
1661147553,3,5
1661148282,2,1
1661149232,7,1
1661149948,6,0
1661150675,0,3
1661151390,0,3
1661152115,6,3
1661152831,4,2
1661153548,4,3
1661154274,12,2
1661154993,4,0
1661155712,7,7
1661156430,5,0
1661157148,3,7
1661157871,3,2
1661158590,7,4
1661159309,2,1
1661160036,1,6
1661160998,1,5
1661161712,4,0
1661162439,1,3
1661163149,5,3
1661163878,3,4
