DateTime,AddedIPs,RemovedIPs
1660655886,5,4
1660656965,2,3
1660657326,2,1
1660658046,0,1
1660658765,3,3
1660659845,6,1
1660660565,0,6
1660660925,2,4
1660662124,3,5
1660663085,2,2
1660663805,2,5
1660664886,1,9
1660666687,2,12
1660667045,0,1
1660668126,0,1
1660668845,0,2
1660669565,0,5
1660670644,1,1
1660672445,1,9
1660673165,1,6
1660674967,3,9
1660675694,0,1
1660676047,2,0
1660677149,8,5
1660678565,3,0
1660679284,1,1
1660680425,1,6
1660682165,2,9
1660682527,0,2
1660683966,1,1
1660684685,1,2
1660685045,0,377
1660686245,373,0
1660686846,4,0
1660687976,1,3
1660688645,2,0
1660689364,2,1
1660690085,2,2
1660691165,0,2
1660691886,2,0
1660692966,2,2
1660693326,1,1
1660694044,1,0
1660695846,5,4
1660696925,0,9
1660698726,1,0
1660699805,0,372
1660700525,373,0
1660701966,2,2
1660703766,4,5
1660704846,2,1
1660706647,4,1
1660707366,1,4
1660707726,2,1
1660708925,0,1
1660709887,2,0
1660710246,1,0
1660710966,1,2
1660711685,2,2
1660712766,1,1
1660714565,0,375
1660715287,379,0
1660717085,1,1
1660717808,15,2
1660718526,2,2
1660720025,2,4
1660721764,3,2
1660722485,0,2
1660722847,1,0
1660723564,2,2
1660723974,2,1
1660725067,1,1
1660726086,3,4
1660727525,6,4
1660728606,1,3
1660729326,0,390
1660730045,395,0
1660731846,3,2
1660732207,1,4
1660732926,2,2
1660734726,0,4
1660736166,1,7
1660736885,0,2
1660738026,1,1
1660739766,5,3
1660740486,4,1
1660740844,1,0
1660742646,3,3
1660743367,3,2
1660744084,2,0
1660744445,2,0
1660745166,2,3
1660746247,4,1
1660746966,0,3
1660747687,2,0
1660748045,1,0
1660748764,1,5
1660749124,2,0
1660750926,2,3
1660752365,1,4
1660754525,5,6
1660755246,2,1
1660755965,4,7
1660756685,1,1
1660757046,1,0
1660757765,0,4
1660758485,2,4
1660759209,3,6
1660760286,1,0
1660761005,4,6
1660762144,2,0
1660763886,3,3
1660764605,1,2
1660767125,2,1
1660768925,128,2
1660769286,190,0
1660770009,331,3
1660770724,539,1
1660771445,366,3
1660771805,100,9
1660773245,397,2
1660774326,270,1
1660776485,129,20
1660777565,6,44
1660778645,2,19
1660779728,0,14
