DateTime,AddedIPs,RemovedIPs
1660384087,0,3
1660385528,1,1
1660386968,0,1
1660387685,0,1
1660388045,1,0
1660388765,1,1
1660391646,1,1
1660394166,10,1
1660398128,0,1
1660401007,3,0
1660401727,1,1
1660405327,0,3
1660407847,0,2
1660408567,1,3
1660409287,0,1
1660411087,3,1
1660412886,4,1
1660414425,1,1
1660415407,2,2
1660416126,1,1
1660417566,0,2
1660419367,0,3
1660421168,3,5
1660423687,1,19
1660424767,0,3
1660425486,1,0
1660426207,0,4
1660428366,1,1
1660429085,1,0
1660430886,1,0
1660431966,1,2
1660434488,1,1
1660435211,1,2
1660439887,1,0
1660441688,0,1
1660442766,0,2
1660444207,3,0
1660445346,4,0
1660446366,3,0
1660447087,2,0
1660447808,1,1
1660449966,4,1
1660451766,2,0
1660453568,2,0
1660455007,0,2
1660456087,6,1
1660456447,1,0
1660458967,8,2
1660461487,1,0
1660462927,3,1
1660463648,1,0
1660468687,3,0
1660470847,9,1
1660471567,0,1
1660473009,0,6
1660473726,1,0
1660475167,0,3
1660478047,2,0
1660478767,0,1
1660480926,0,1
1660484166,0,1
1660484527,0,1
1660485967,0,2
1660487766,0,2
1660489212,2,1
1660489927,0,1
1660490287,1,0
1660491366,1,7
1660493528,2,1
1660494246,1,0
1660494607,0,2
1660496047,1,0
1660497845,2,4
1660499646,5,1
1660500366,1,2
1660501087,2,0
1660501807,0,3
1660502526,2,0
1660504327,4,3
1660504687,1,0
1660506486,0,6
1660508648,2,1
1660509008,1,1
1660512968,0,1
1660515487,0,3
1660516927,0,3
1660517648,0,1
1660518365,0,2
1660519087,1,0
1660520887,0,3
1660521965,0,1
1660523767,0,3
1660528448,1,0
1660530608,0,1
1660531327,0,1
1660533268,0,1
1660536367,1,0
1660537448,1,0
1660538887,0,1
1660540686,1,0
1660542126,17,1
1660543326,2,3
1660545367,1,0
1660546446,1,0
1660547526,1,2
1660548247,1,0
1660552208,1,1
1660553645,1,0
1660554727,3,0
1660556166,1,1
1660556885,0,1
1660558685,1,0
1660559046,1,0
1660562646,1,1
1660563367,0,10
1660564447,0,1
1660565886,0,1
1660567686,1,0
1660569847,1,0
1660570565,0,1
1660570926,0,1
1660572726,1,0
1660574167,1,0
1660575247,1,0
1660576327,2,0
1660577467,2,0
1660578486,3,1
1660578846,1,0
1660579986,3,1
1660581367,2,4
1660582087,3,1
1660582810,1,1
1660583886,0,2
1660585686,1,3
1660587487,1,0
1660589286,3,2
1660590368,0,2
1660592886,3,0
1660594326,3,0
1660596128,1,2
1660597568,0,1
1660598288,1,0
1660600087,2,3
1660601888,3,0
1660603328,5,2
1660604410,0,1
1660605127,1,0
1660607286,1,0
1660608367,0,1
1660610167,2,0
1660610888,1,0
1660611610,0,1
1660612326,1,0
1660613407,0,4
1660614127,1,1
1660615928,0,2
1660616647,1,0
1660617007,0,3
1660618086,0,1
1660619906,0,2
1660621685,0,1
1660623848,2,0
1660624566,0,1
1660624927,2,1
1660626128,1,4
1660628166,0,2
1660628887,1,1
1660630686,0,1
1660631765,0,2
1660632487,1,1
1660633568,0,1
1660637638,1,0
1660638607,0,3
1660639686,1,0
1660643287,0,1
1660645809,2,3
1660646886,1,0
1660648686,0,1
1660650486,0,1
1660654088,1,0
1660655887,1,0
1660656966,0,2
1660658766,0,2
1660659846,0,1
1660660566,0,1
1660662126,0,2
1660663086,1,0
1660663806,0,9
1660664887,1,1
1660666688,1,1
1660667046,1,0
1660668127,1,2
1660668846,1,0
1660669566,1,4
1660670645,1,0
1660672446,1,4
1660673166,1,1
1660674968,0,2
1660675695,1,0
1660678566,2,3
1660679285,1,0
1660680426,5,0
1660682166,4,0
1660682528,1,0
1660684686,1,0
1660686847,2,1
1660688019,1,1
1660689365,1,1
1660690086,1,0
1660690445,1,0
1660694045,1,0
1660696926,0,2
1660698127,1,0
1660701967,1,0
1660703767,1,0
1660707008,4,2
1660709887,1,0
1660710967,0,1
1660714566,0,2
1660717086,0,1
1660717810,0,1
1660718888,1,0
1660721765,1,1
1660725123,1,3
1660728608,1,3
1660732208,0,1
1660734726,7,0
1660736886,1,0
1660739767,0,2
1660743006,0,2
1660743727,1,1
1660744446,2,0
1660745167,0,4
1660746248,1,0
1660746967,1,3
1660747687,1,1
1660748765,3,5
1660750926,3,22
1660751645,1,0
1660752366,3,2
1660754526,5,3
1660755966,2,1
1660756686,3,0
1660757766,1,0
1660758486,2,1
1660759210,1,1
1660759566,1,0
1660760287,1,0
1660761006,2,1
1660762145,2,0
1660763887,2,4
1660764606,1,2
1660765686,1,1
1660767126,0,1
1660768926,2,2
1660770010,1,3
1660770725,1,0
1660771806,0,4
1660773245,0,2
1660774327,0,1
1660776087,2,1
1660777566,0,1
1660779729,2,1
1660781527,1,1
1660782607,0,1
1660784047,1,1
1660785846,1,0
1660787646,0,1
1660789086,1,0
1660790886,6,0
1660794126,0,2
1660797367,0,1
1660800246,0,1
1660802045,2,1
1660803486,0,1
1660808167,0,1
1660809965,2,2
1660812546,1,0
1660815365,1,1
1660817526,1,1
1660818246,1,0
1660820766,0,1
1660823286,1,2
1660824010,1,0
1660825086,0,1
1660828686,3,1
1660833006,0,2
1660833727,0,1
1660835167,0,1
1660835885,1,0
1660837326,0,3
1660838410,0,2
1660840206,0,1
1660840928,1,0
1660842367,1,1
1660843807,0,1
1660847047,1,1
1660847408,0,1
1660848847,0,1
1660849566,1,2
1660851007,0,6
1660851726,2,1
1660853887,1,0
1660854608,0,2
1660856767,2,0
1660857127,1,0
1660858266,0,2
1660858926,1,0
1660860426,1,2
1660862166,5,1
1660862886,1,0
1660864326,1,1
1660865047,3,0
1660865765,2,0
1660866486,2,0
1660867565,1,0
1660868645,2,0
1660869726,1,0
1660870927,0,1
1660873685,2,2
1660876567,0,2
1660876926,0,1
1660879088,2,0
1660879807,0,1
1660881246,1,0
1660883045,2,0
1660884126,1,0
1660885567,1,1
1660887366,4,0
1660887727,1,0
1660891026,0,1
1660894565,0,1
1660896011,0,1
1660896728,1,0
1660898528,0,1
1660899244,0,1
1660901045,2,0
1660901766,1,0
1660905008,0,7
1660905727,1,0
1660907887,0,1
1660908606,1,0
1660911185,1,0
1660914366,4,4
1660916525,1,1
1660918325,0,2
1660919406,1,3
1660920485,1,0
1660921567,0,3
1660922286,2,0
1660925886,1,7
1660927325,2,4
1660928408,2,1
1660929125,1,0
1660930565,1,3
1660931286,2,2
1660931647,1,0
1660932366,4,1
1660933088,1,0
1660934165,2,2
1660934886,1,1
1660935246,1,0
1660937045,2,1
1660938185,2,1
1660939926,2,2
1660943526,1,0
1660944606,1,2
1660945326,1,1
1660947486,3,1
1660948565,1,0
1660949288,0,1
1660950726,3,0
1660951807,0,1
1660953966,0,2
1660955407,1,0
1660958287,1,0
1660959007,0,1
1660959726,1,0
1660961527,16,6
1660964046,1,0
1660966566,10,0
1660967647,1,0
1660972686,0,3
1660973766,1,0
1660976285,1,0
1660977006,1,0
1660979886,0,2
1660981686,2,1
1660983845,3,0
1660984566,1,1
1660985285,1,0
1660987446,2,0
1660989245,2,1
1660993565,1,1
1660995008,1,1
1660997526,1,0
1661000047,0,2
1661002208,2,0
1661002927,1,0
1661005806,0,1
1661007967,1,1
1661009766,0,1
1661010127,0,1
1661011567,0,1
1661019487,3,0
1661020207,0,2
1661022365,1,2
1661024887,0,1
1661026325,1,2
1661028126,1,0
1661029327,1,1
1661031008,0,3
1661032086,1,4
1661033167,0,1
1661034608,1,2
1661035326,0,1
1661036765,0,2
1661038267,0,3
1661038926,0,1
1661042527,0,1
1661043966,0,2
1661044325,1,0
1661047566,2,0
1661048287,1,0
1661049007,1,1
1661051165,1,2
1661052965,0,2
1661053686,1,0
1661055486,3,2
1661056206,0,3
1661056926,0,1
1661058366,0,1
1661061245,1,0
1661063407,1,0
1661067726,1,2
1661069887,1,1
1661070606,0,1
1661071326,0,1
1661073485,1,0
1661076365,0,1
1661078166,0,1
1661081406,1,1
1661083566,0,2
1661085727,1,2
1661087588,2,2
1661088967,1,1
1661091126,1,1
1661092207,1,2
1661093287,3,0
1661094008,2,0
1661095446,1,0
1661097245,8,2
1661099407,0,1
1661099767,1,1
1661100847,3,1
1661101567,2,6
1661102286,1,0
1661103006,2,4
1661103725,2,1
1661104087,2,0
1661105889,2,2
1661106607,0,3
1661108766,0,2
1661111646,0,1
1661113445,2,0
1661114165,0,2
1661114886,1,0
1661115966,0,1
1661118485,0,3
1661120286,4,1
1661121008,0,1
1661123885,0,1
1661124607,0,1
1661125327,1,0
1661127125,1,0
1661128266,0,1
1661128925,0,1
1661131445,1,15
1661132163,0,1
1661132886,1,0
1661134687,1,1
1661135766,1,0
1661136126,0,10
1661137567,37,1
1661139366,1,1
1661142245,1,0
1661143325,0,1
1661146567,3,0
1661148125,0,1
1661149085,2,0
1661149807,1,3
1661151965,0,1
1661153766,0,3
1661155566,1,1
1661156286,1,0
1661157365,1,2
1661158086,0,1
1661159886,3,1
1661161683,1,0
1661162766,2,0
