DateTime,AddedIPs,RemovedIPs
1660643289,3,1
1660644011,1,0
1660645810,10,0
1660646888,7,2
1660647967,1,2
1660648687,3,1
1660649407,3,4
1660650487,0,1
1660651929,3,2
1660652647,1,0
1660654089,2,3
1660655888,4,4
1660656967,2,3
1660657328,2,1
1660658048,0,1
1660658767,3,3
1660659488,4,1
1660659847,2,0
1660660567,0,5
1660660927,2,4
1660662127,2,5
1660663087,2,2
1660663807,1,5
1660664888,1,9
1660666689,1,12
1660667047,0,1
1660668128,0,1
1660668848,0,2
1660669567,0,5
1660670647,1,1
1660672447,0,9
1660673167,1,6
1660674969,3,9
1660675696,0,1
1660676049,2,0
1660677151,8,5
1660678567,3,0
1660679286,1,1
1660680427,1,6
1660682167,2,8
1660682529,0,2
1660683969,1,1
1660684687,1,2
1660686848,8,8
1660688020,1,3
1660688647,2,0
1660689366,2,1
1660690087,1,2
1660691167,0,1
1660691887,2,0
1660692968,2,2
1660693328,1,1
1660694046,1,0
1660695848,4,4
1660696927,0,9
1660698728,1,0
1660699806,3,2
1660700526,1,1
1660701968,2,2
1660703768,2,4
1660704848,2,1
1660707009,3,5
1660707728,3,1
1660708927,0,1
1660709888,2,0
1660710968,1,2
1660711687,2,2
1660712768,1,1
1660714567,5,1
1660715289,1,0
1660717087,1,1
1660717811,15,2
1660718528,2,2
1660720027,2,3
1660721766,3,2
1660722487,0,2
1660722849,1,0
1660723566,2,2
1660724026,2,1
1660726088,4,4
1660727527,5,4
1660728609,1,3
1660729327,5,1
1660730047,1,0
1660731848,3,2
1660732209,1,4
1660732927,2,1
1660734727,0,4
1660736168,1,5
1660736888,0,2
1660738028,1,1
1660739768,5,3
1660740488,4,1
1660740846,1,0
1660743007,6,6
1660743728,2,0
1660744447,2,0
1660745168,2,3
1660745888,4,1
1660746968,0,4
1660747688,2,0
1660748047,1,0
1660748766,1,5
1660749126,2,0
1660750928,2,3
1660752367,1,4
1660754526,4,5
1660755248,2,1
1660755967,4,6
1660756687,1,1
1660757767,0,4
1660758488,2,4
1660759211,3,6
1660760288,1,0
1660761007,3,4
1660762146,2,0
1660763888,3,2
1660764608,1,2
1660767127,1,1
1660768928,129,2
1660769288,191,0
1660770012,332,3
1660770726,537,1
1660771447,366,3
1660771807,100,9
1660773247,396,2
1660775529,375,9
1660776487,30,18
1660777567,6,43
1660778648,2,19
1660779730,0,12
1660781528,3,10
1660782608,0,10
1660784048,1,21
1660785847,0,15
1660787647,2,3
1660788367,2,4
1660789087,0,1
1660789808,1,3
1660790887,4,5
1660791968,0,31
1660792328,1,2
1660794127,8,13
1660794848,0,3
1660795567,2,4
1660797368,0,20
1660798447,0,2
1660800247,4,9
1660800608,0,4
1660802046,1,2
1660802767,1,3
1660803487,3,0
1660804209,1,15
1660806368,2,11
1660807446,20,0
1660808168,1,2
1660809966,3,6
1660810330,3,0
1660811410,1,4
1660812548,1,4
1660813567,1,19
1660815366,21,24
1660815726,1,6
1660817527,4,5
1660818247,1,2
1660818967,1,6
1660819328,1,0
1660820048,2,0
1660820767,3,3
1660821488,2,0
1660822209,0,4
1660822567,1,2
1660823287,3,11
1660824012,1,6
1660824367,1,1
1660825087,2,1
1660825808,2,4
1660827966,4,8
1660828688,3,1
1660830129,0,30
1660830846,0,2
1660833007,5,6
1660833728,2,2
1660834447,1,1
1660835168,0,2
1660835886,1,1
1660837327,7,14
1660838412,4,7
1660839504,3,1
1660840207,1,2
1660840929,3,2
1660841647,1,1
1660842368,0,2
1660843087,1,0
1660843808,1,4
1660844528,0,2
1660845248,1,0
1660847048,2,3
1660847409,0,11
1660848848,4,3
1660849567,0,1
1660850286,6,0
1660851008,5,0
1660851727,2,1
1660852447,1,0
1660853167,1,2
1660853888,2,0
1660854609,286,2
