DateTime,AddedIPs,RemovedIPs
1660181772,59,59
1660183706,72,60
1660185606,73,71
1660187768,72,71
1660189928,64,72
1660191869,72,66
1660193767,44,71
1660195940,77,45
1660198093,60,78
1660200009,69,61
1660201946,63,67
1660203849,66,65
1660205763,61,63
1660207714,57,62
1660209606,61,59
1660211532,62,59
1660213472,67,62
1660215368,60,68
1660217528,72,61
1660219449,63,71
1660221387,68,63
1660223284,67,64
1660225449,65,70
1660227606,62,64
1660229524,63,62
1660231472,42,65
1660233365,52,41
1660235531,70,50
1660237687,52,68
1660239845,68,55
1660242011,68,70
1660243926,62,69
1660245872,73,59
1660247763,65,75
1660249923,66,65
1660252092,66,64
1660254248,62,65
1660256404,66,65
1660258568,68,65
1660260510,73,66
1660262408,67,73
1660264569,65,70
1660266512,61,64
1660268404,64,62
1660270569,70,63
1660272727,63,71
1660274648,57,59
1660276587,55,60
1660278484,49,56
1660280405,38,50
1660282346,64,36
1660284250,67,64
1660286190,64,65
1660288087,67,66
1660290035,73,67
1660291924,56,71
1660293845,73,56
1660295792,71,76
1660297687,64,68
1660299605,70,66
1660301528,59,67
1660303446,57,60
1660305387,69,56
1660307283,67,71
1660309449,58,65
1660311607,64,60
1660313523,63,62
1660315469,54,64
1660317365,58,56
1660319530,69,57
1660321445,58,67
1660323390,60,62
1660325287,60,57
1660327207,75,64
1660329148,71,73
1660331051,51,65
1660332967,70,57
1660334907,60,67
1660336804,66,61
1660338971,61,66
1660340910,55,63
1660342806,65,55
1660344750,61,62
1660346650,59,61
1660348586,53,59
1660350489,69,55
1660352645,48,68
1660354564,57,44
1660356507,56,60
1660358409,57,57
1660360510,56,55
1660362733,62,57
1660364645,62,65
1660366592,47,61
1660368484,55,48
1660370417,64,54
1660372353,58,62
1660374254,63,56
1660376407,58,63
1660378569,59,61
1660380484,54,58
1660382427,63,55
1660384323,61,63
1660386489,52,58
1660388650,49,56
1660390592,64,49
1660392483,59,63
1660394648,62,59
1660396806,63,61
1660398724,60,62
1660400670,51,63
1660402563,62,49
1660404724,58,64
1660406887,49,55
1660409053,62,52
1660411207,53,58
1660413126,57,56
1660415072,58,59
1660416964,59,56
1660419126,60,57
1660421045,60,59
1660422992,56,62
1660424892,72,59
1660426807,50,67
1660428747,59,49
1660430645,58,63
1660432804,62,59
1660434727,57,62
