DateTime,AddedIPs,RemovedIPs
1659340562,85,74
1659342482,49,31
1659346322,38,1387
1659348242,1354,0
1659350162,33,35
1659354002,30,46
1659357842,44,34
1659361682,47,39
1659365521,43,47
1659369362,42,42
1659373206,42,37
1659375123,13,3639
1659377283,3625,0
1659379442,43,46
1659383761,43,63
1659385922,44,72
1659390242,53,285
1659394322,43,52
1659398162,66,74
1659402005,68,64
1659404162,99,57
1659408002,54,60
1659412322,73,70
1659416642,56,60
1659418562,55,61
1659420722,37,46
1659426482,45,39
1659430562,42,139
1659432721,38,100
1659437041,45,41
1659440882,41,44
1659444962,38,42
1659447122,47,46
1659451202,43,46
1659455042,45,44
1659458882,54,42
1659460802,46,51
1659466562,36,39
1659468722,53,42
1659473041,39,42
1659474962,42,39
1659476882,39,42
1659478803,44,44
1659482882,42,123
1659484806,101,52
1659486962,89,66
1659491042,100,61
1659494882,56,72
1659498722,75,110
1659502805,74,73
1659504721,90,79
1659506643,52,55
1659512882,55,58
1659516722,53,95
1659520806,61,69
1659522722,84,74
1659526561,91,62
1659530642,64,59
1659534482,62,85
1659538562,71,62
1659542406,78,72
1659544322,69,50
1659548161,66,74
1659552241,64,63
1659554162,75,79
1659560163,68,63
1659562083,67,67
1659569282,122,96
1659573362,62,70
1659577202,98,77
1659581522,74,70
1659583442,70,74
1659585362,137,140
1659589442,118,132
1659591362,132,118
1659593522,118,132
1659595442,64,58
1659599282,58,73
1659601203,69,53
1659606962,66,74
1659610806,54,56
1659612963,71,75
1659617042,52,62
1659618962,62,52
1659621122,107,105
1659626641,66,62
1659628561,72,78
1659632882,64,55
1659634802,69,75
1659636721,62,46
1659638642,46,62
1659640564,102,102
1659646322,60,45
1659652081,66,76
1659654007,58,56
1659656162,78,74
1659660002,62,56
1659664322,106,80
1659668162,70,72
1659672009,85,83
1659675842,67,71
1659677762,70,82
1659681602,57,84
1659685441,81,67
1659689521,61,50
1659691442,69,70
1659693362,70,69
1659695522,57,2602
1659697442,2547,0
1659699362,58,64
1659701282,41,54
1659707042,79,54
1659711122,48,68
1659714963,72,57
1659722882,105,99
1659724802,49,69
1659726722,69,49
1659728644,91,104
1659738721,109,99
1659740642,46,61
1659746402,80,58
1659748321,66,49
1659750242,84,74
1659754323,68,59
1659758162,67,78
1659760321,15,4391
1659762482,4373,0
1659764402,52,50
1659768242,39,27
1659770402,33,46
1659778322,54,72
1659782162,38,38
1659786242,40,54
1659790322,37,28
1659792243,59,41
1659796322,43,42
1659800161,45,57
1659804001,33,55
1659807842,49,49
1659811682,54,42
1659816008,55,42
1659818162,25,44
1659822482,46,41
1659826322,60,61
1659830162,68,52
