DateTime,AddedIPs,RemovedIPs
1653004818,1644,1908
1653011081,328,321
1653014648,50,24
1653026406,28,46
1653060964,2,10
1653091218,1746,1665
1653100184,55,40
1653103690,348,349
1653111847,35,31
1653147124,6,5
1653174016,1213,1479
1653186011,57,58
1653195616,336,325
1653197767,36,0
1653232567,15,8
1653256817,1253,2214
1653271206,19,25
1653275049,32,56
1653282728,29,25
1653288737,346,291
1653317764,14,5
1653360248,62,101
1653372248,35,48
1653380897,360,307
1653386417,2721,3527
1653407047,13,8
1653445929,52,22
1653457448,31,25
1653473085,398,282
1653492248,1831,2270
1653531128,32,0
1653535207,25,51
1653542886,34,27
1653559216,1933,1994
1653564492,355,207
1653578169,12,10
1653617769,70,27
1653629768,25,0
1653645618,1640,1754
1653657610,357,1265
1653664565,13,0
1653704170,50,64
1653715927,36,39
1653728416,1268,1519
1653750495,382,351
1653793211,65,93
1653800887,37,41
1653814814,1101,1725
1653839530,16,24
1653842169,373,337
1653878408,59,31
1653889928,35,65
1653897618,1039,1995
1653925206,20,11
1653935052,362,309
1653964569,47,58
1653976087,37,0
1653984016,1612,2106
1654011127,13,4
1654026768,372,342
1654050010,57,51
1654061768,19,36
1654070416,1866,2399
1654096807,12,0
1654119618,370,345
1654135451,30,20
1654139286,23,49
1654146970,30,17
1654156815,1640,1911
1654182012,8,12
1654210808,250,231
1654211078,131,118
1654224731,50,86
1654236493,23,74
1654243217,1594,1808
1654268172,7,7
1654304686,366,294
1654309452,65,81
1654321208,36,31
1654329616,1626,1431
1654356965,8,19
1654396088,68,36
1654397567,197,323
1654407610,32,20
1654416016,1179,1660
1654441930,5,0
1654484408,63,59
1654488972,128,300
1654496168,32,37
1654498817,1240,2377
1654528565,15,19
1654570810,57,99
1654578726,34,33
1654584046,156,318
1654585214,1582,1891
1654614070,17,13
1654654325,25,0
1654658451,34,27
1654666332,39,0
1654668016,1602,1991
1654678814,206,308
1654702570,8,0
1654740727,31,17
1654744430,20,22
1654752250,38,22
1654754417,1684,1821
1654770730,165,285
1654788723,11,12
1654826648,27,37
1654830728,35,38
1654838406,38,67
1654840817,1765,1991
1654863138,77,331
1654874649,15,10
1654915691,59,21
1654927209,30,35
1654927215,1472,1577
1654954839,104,366
