DateTime,AddedIPs,RemovedIPs
1660496523,2,0
1660497723,9,0
1660498922,1,0
1660499522,31,35
1660503361,38,26
1660503722,1,0
1660504322,1,0
1660504922,2,0
1660505522,36,26
1660507323,1,0
1660509362,25,31
1660509722,34,0
1660512123,2,0
1660513202,22,53
1660513323,2,0
1660514522,1,0
1660517043,35,33
1660519322,1,0
1660519981,1,0
1660521722,1,0
1660522802,57,32
1660522923,3,0
1660524122,1,0
1660524722,36,27
1660528563,59,43
1660528922,3,0
1660529522,2,0
1660530122,1,0
1660530722,0,4207
1660531922,4,0
1660532881,4226,24
1660535522,5,0
1660536722,37,45
1660537322,2,0
1660538523,2,0
1660539722,1,0
1660540922,0,1
1660542122,1,0
1660542722,46,45
1660544522,1,0
1660545722,1,0
1660546562,38,40
1660546922,2,0
1660549323,0,1
1660550407,25,42
1660550522,2,1
1660554242,28,30
1660554722,2,0
1660555322,1,0
1660556162,55,34
1660557722,1,0
1660560002,31,27
1660561922,41,41
1660563722,1,0
1660564922,5,0
1660566122,1,0
1660567682,34,35
1660569122,2,0
1660571522,49,44
1660572122,1,0
1660572722,1,0
1660573322,1,1
1660575122,1,0
1660575363,46,39
1660575722,1,0
1660579206,41,41
1660579322,1,0
1660580521,1,0
1660581122,41,38
1660584962,43,36
1660585322,2,1
1660588802,33,36
1660590122,1,0
1660591322,1,1
1660592642,25,25
1660593122,2,0
1660594322,1,0
1660594922,2,0
1660596722,39,38
1660598522,2,0
1660600322,1,0
1660600562,36,36
1660602122,1,0
1660602482,35,42
1660605722,2,0
1660606321,32,1373
1660608242,1367,0
1660608722,3,0
1660610161,34,41
1660615922,64,55
1660617842,43,54
1660619763,59,49
1660621922,2,0
1660624381,0,1
1660625761,59,60
1660626121,1,0
1660629122,1,0
1660629608,46,62
1660629722,3,0
1660631522,38,31
1660635361,30,37
1660636922,1,0
1660637281,34,36
1660639922,3,0
1660641722,2,0
1660643042,27,49
1660645922,1,0
1660647122,37,33
1660648922,1,0
1660650962,41,37
1660651922,1,1
1660654809,26,46
1660656122,1,0
1660656722,54,430
1660658642,386,0
1660660562,44,38
1660661522,1,0
1660662121,1,0
1660664402,41,24
1660665722,1,1
1660668122,1,0
1660668722,25,48
1660669922,9,0
1660670522,0,2
1660673042,40,39
1660674962,30,42
1660678802,46,31
1660678922,1,0
1660679522,1,0
1660682642,38,59
1660683722,1,0
1660686721,36,55
1660690561,39,32
1660692781,1,0
1660694522,1,0
1660695362,64,20
1660695721,1,0
1660697522,33,23
1660698122,2,0
1660702922,2,0
1660703522,70,100
1660704122,1,0
1660705922,1,0
1660707362,69,50
1660711201,53,52
1660713122,28,0
1660713722,6,0
1660715042,46,51
1660718522,1,0
1660718881,34,33
1660720802,33,34
1660722722,48,60
1660724642,37,42
1660725122,1,0
1660725723,1,0
1660726809,42,37
1660727522,0,1
1660728722,35,951
1660729922,1,0
1660730642,930,25
1660733522,1,0
1660736402,43,39
1660738922,1,0
1660740242,31,37
1660741322,1,0
1660744321,53,37
1660744922,2,0
1660746243,37,53
1660747322,9,0
1660748162,60,59
1660750922,3,0
1660751523,1,0
1660752242,37,27
1660754162,24,32
1660758002,36,42
1660758122,2,0
1660758722,2,0
1660760522,1,0
1660761842,46,34
1660762922,1,0
1660763762,34,45
1660764122,1,0
1660765322,2,0
1660765922,68,103
1660767723,1,0
1660768922,2,0
1660769762,35,35
1660770122,7,0
1660771323,1,0
1660773608,46,41
1660774322,1,0
1660776483,31,67
1660776722,0,1
1660778522,12,0
1660779722,3,0
1660780323,62,38
1660780922,0,1
1660782122,5,0
1660784162,59,34
1660785122,1,0
1660786082,78,60
1660788122,1,0
1660789322,1,0
1660791842,50,72
1660793761,69,49
1660797602,46,60
1660797722,2,0
1660801441,45,61
1660802522,1,0
1660803722,1,0
1660805522,47,37
1660806122,2,0
1660807322,2,0
1660809361,34,40
1660809722,4,0
1660811523,37,34
1660812722,1,0
1660813442,29,36
1660815722,1,0
1660818122,1,0
1660819203,31,34
1660823042,30,32
1660824122,1,0
1660826522,1,0
1660826882,32,36
1660827122,1,0
1660827722,2,0
1660830722,45,38
1660831322,1,0
1660832522,1,0
1660833722,1,0
1660834563,35,41
1660834922,2,0
1660836122,2,0
1660837322,3,0
1660837922,1,0
1660838408,38,45
1660838522,1,0
1660840322,39,48
1660844162,49,34
1660844522,1,0
1660845722,3,0
1660846323,1,0
1660846922,1,0
1660848242,35,54
1660849322,6,0
1660850162,38,40
1660850522,3,0
1660851723,3,0
1660852922,2,0
1660855322,3,0
1660855922,41,44
1660856522,1,0
1660857722,1,0
1660858323,5,0
1660858922,1,0
1660859762,58,42
1660861922,18,2036
1660862523,1,0
1660864082,2020,0
1660864922,0,4
1660867323,5,0
1660868523,3,0
1660875122,1,0
1660876922,2,0
1660878122,2,0
1660879322,2,2
1660881723,1,0
1660882322,1,0
1660883583,1,0
1660886556,2,0
1660887722,1,0
1660889522,1,0
1660893122,1,0
1660895522,1,0
1660896122,1,0
1660898522,3,0
1660902722,1,0
1660903322,1,0
1660904522,1,1
1660905183,3,0
1660906322,2,0
1660909322,1,0
1660910522,1,0
1660911122,3,0
1660914122,1,0
1660915981,3,0
1660917122,1,0
1660917722,1,0
1660919581,10,0
1660920122,1,0
1660921323,1,0
1660922522,1,0
1660923723,1,0
1660924322,3,0
1660924922,1,0
1660926242,220,194
1660928162,30,44
1660928522,1,0
1660930923,2,0
1660932007,41,39
1660933322,2,0
1660933922,36,265
1660934522,2,0
1660935842,234,1
1660936922,1,0
1660937761,34,38
1660938122,2,0
1660939322,1,0
1660939922,2,0
1660940522,1,0
1660941602,33,59
1660941722,1,0
1660942922,1,0
1660943522,42,24
1660944122,0,1
1660944782,2,0
1660947603,27,28
1660947722,3,0
1660948322,4,0
1660952522,2,0
1660953362,44,27
1660953722,2,0
1660954922,1,0
1660956123,4,0
1660957682,90,76
1660960922,16,0
1660962122,5,0
1660962723,1,0
1660963682,44,49
1660963922,5,0
1660964522,4,0
1660965122,2,0
1660965842,62,57
1660966922,0,1
1660968122,2,0
1660971608,39,74
1660973522,48,57
1660974122,1,0
1660974722,7,0
1660976522,1,0
1660977123,1,0
1660983362,65,54
1660983722,1,0
1660985281,41,39
1660988523,5,0
1660989122,38,99
1660989722,2,1
1660990923,1,0
1660992122,1,0
1660992962,38,55
1660993322,3,0
1660994522,2,0
1660995723,1,0
1660996819,41,52
1660996923,2,0
1660998122,1,0
1660998721,100,30
1660999323,2,0
1661000642,43,37
1661005322,21,0
1661006641,41,32
1661007722,0,1
1661010482,35,34
1661011322,1,0
1661012522,3,0
1661014807,36,36
1661014922,3,0
1661016962,38,40
1661017922,2,0
1661018522,1,1
1661019122,41,31
1661019723,3,0
1661020922,1,0
1661022122,2,0
1661023323,3,0
1661023982,4,0
1661025122,35,37
1661025722,1,0
1661026322,1,0
1661027583,1,0
1661028723,2,0
1661028962,25,46
1661031722,3,0
1661033042,53,38
1661033522,1,0
1661034122,1,0
1661034962,37,43
1661035322,1,0
1661036882,66,39
1661037122,1,0
1661037723,4,0
1661038323,2,0
1661038923,2,0
1661039522,10,0
1661040122,1,0
1661041322,1,0
1661042523,1,0
1661042882,53,50
1661046721,84,58
1661046722,5,0
1661047922,1,0
1661048522,4,0
1661050562,49,61
1661052122,1,0
1661055362,58,59
1661055723,1,0
1661057281,62,58
1661058122,1,0
1661058723,1,0
1661059981,1,0
1661061121,44,63
1661061722,3,0
1661062924,11,0
1661064723,3,0
1661064962,29,62
1661068807,59,30
1661070127,2,0
1661070722,50,34
1661070781,2,0
1661071322,1,0
1661072522,2,0
1661073723,46,0
1661075042,35,30
1661076122,2,0
1661078882,32,49
1661079723,4,0
1661081583,16,0
1661082123,2,0
1661082722,1,0
1661083210,35,38
1661083322,1,0
1661085362,42,36
1661085722,2,0
1661088122,2,0
1661089202,45,37
1661091722,12,0
1661092922,4,0
1661093521,40,49
1661094122,1,0
1661095982,1,0
1661097362,47,29
1661097722,3,0
1661098322,3,0
1661100122,3,0
1661100722,2,0
1661101206,32,32
1661101322,7,0
1661103121,36,43
1661103722,10,0
1661104322,1,0
1661105523,13,0
1661106962,45,29
1661107322,2,0
1661107922,6,0
1661108522,5,0
1661110382,1,0
1661110802,26,30
1661110923,1,0
1661113322,8,0
1661114642,35,43
1661115722,1,0
1661116323,1,0
1661117582,2,0
1661118482,32,30
1661118722,2,0
1661120522,2,0
1661121722,1,0
1661122564,36,43
1661122923,1,0
1661124122,2,0
1661124782,1,0
1661126408,56,44
1661126523,1,0
1661127722,2,0
1661128561,43,45
1661130122,1,0
1661132642,84,53
1661133722,2,0
1661134561,49,54
1661134922,12,1
1661136123,1,0
1661137922,1,0
1661138522,1,0
1661142122,1,0
1661142723,38,2550
1661143322,1,0
1661143922,1,0
1661144882,2505,33
1661146923,1,0
1661148722,1,0
1661150642,46,41
1661151722,1,0
1661154722,31,36
1661155322,1,0
1661155923,1,0
1661158561,38,36
1661160481,32,38
1661160781,1,0
1661163722,1,0
