DateTime,AddedIPs,RemovedIPs
1660883766,9,9
1660883979,2,12
1660884700,11,13
1660885420,9,16
1660885926,7,8
1660886141,10,2
1660886859,8,9
1660887580,5,5
1660888085,15,13
1660888300,10,9
1660889020,9,12
1660889741,1,11
1660890250,8,5
1660890461,8,13
1660891179,12,13
1660891901,7,8
1660892172,12,13
1660892621,3,5
1660893341,2,3
1660894114,22,25
1660894780,7,6
1660895500,5,7
1660896007,11,8
1660896220,8,12
1660896939,7,12
1660897206,12,12
1660897660,15,7
1660897924,9,10
1660898380,9,6
1660899099,5,3
1660899874,22,29
1660900539,10,8
1660901260,3,4
1660901767,14,12
1660901980,8,6
1660902701,7,7
1660903206,3,0
1660903420,12,9
1660903928,15,14
1660904140,16,6
1660904862,10,4
1660905580,5,7
1660905844,17,7
1660906302,5,5
1660907021,2,15
1660907790,31,25
1660908460,8,16
1660909180,6,14
1660909688,9,6
1660909900,7,8
1660910620,8,13
1660911339,4,7
1660911609,9,7
1660911846,15,8
1660912060,6,6
1660912779,11,2
1660913549,19,27
1660914220,5,12
1660914940,13,10
1660915452,10,19
1660915660,7,6
1660916381,3,8
1660917101,7,7
1660917365,11,12
1660917819,9,11
1660918539,6,7
1660919313,19,21
1660919980,3,19
1660920699,11,4
1660921205,10,15
1660921419,8,12
1660921923,1,0
1660922141,9,8
1660922861,10,20
1660923129,12,10
1660923580,4,15
1660924302,10,8
1660925311,19,10
1660925979,15,6
1660926483,6,9
1660926700,10,10
1660927204,16,15
1660927421,4,4
1660928141,7,10
1660928859,11,3
1660929367,14,13
1660929579,13,13
1660930299,10,9
1660931020,4,11
1660931528,21,14
1660931741,4,11
1660932459,8,14
1660933180,13,5
1660933448,8,6
1660933899,5,9
1660934620,4,10
1660935389,20,18
1660936059,9,20
1660936780,10,14
1660937285,5,15
1660937501,12,9
1660938220,20,11
1660938941,11,12
1660939207,12,13
1660939660,10,10
1660940379,14,10
1660941150,35,25
1660941821,17,18
1660942541,35,8465
1660943048,9,17
1660943499,13,10
1660944220,17,6
1660944991,37,17
1660945660,12,5
1660946382,7,9
1660946886,20,8
1660947100,12,11
1660947819,15,12
1660948539,21,8
1660949046,11,7
1660949259,14,15
1660949980,13,14
1660950700,12,16
1660951208,13,20
1660951419,10,8
1660952140,9,4
1660952859,8,5
1660953124,8,8
1660953581,9,7
1660954301,10,7
1660955070,25,24
1660955788,25,33
1660956459,16,9
1660956967,7,11
1660957180,10,5
1660957899,6,16
1660958619,18,2
1660959124,13,17
1660959340,12,6
1660960060,22,5
1660960780,7,9
1660961047,12,3
1660961499,15,8
1660962219,4,11
1660962989,15,23
1660963659,5,11
1660964378,12,6
1660964885,16,9
1660965342,17,10
1660966060,5,10
1660966829,14,18
1660967499,6,9
1660968219,3,9
1660968729,9,5
1660968942,7,6
1660969659,6,4
1660970431,30,15
1660970887,15,8
1660971099,5,9
1660971820,6,7
1660972539,5,10
1660972807,14,7
1660973259,5,9
1660973981,11,4
1660974752,22,18
1660975419,5,9
1660976140,0,1
1660976644,12,13
1660976861,6,9
1660977579,9,9
1660978299,7,8
1660978563,10,9
1660979020,6,2
1660979742,9,5
1660980513,13,27
1660981180,12,6
1660981899,7,5
1660982404,7,9
1660982620,14,8
1660983341,14,6
1660984061,9,16
1660984323,16,12
1660984780,16,10
1660985050,9,17
1660985501,15,2
1660986272,25,19
1660986939,4,11
1660987660,14,4
1660988165,7,13
1660988380,8,8
1660989100,7,8
1660989819,4,12
1660990330,10,9
1660990587,12,8
1660991260,12,9
1660991980,7,6
1660992487,19,11
1660992701,2,4
1660993420,11,4
1660994140,9,11
1660994404,10,0
1660994860,8,8
1660995579,7,5
1660996352,21,25
1660997019,8,6
1660997741,6,8
1660998245,16,0
1660998460,13,6
1660999180,11,10
1660999683,5,20
1660999900,9,9
1661000166,6,23
1661000619,8,4
1661001340,7,11
1661002109,16,8
1661002780,4,3
1661003499,9,9
1661004008,14,9
1661004220,8,11
1661004941,9,2
1661005659,9,8
1661005925,11,13
1661006380,6,5
1661007101,8,12
1661007872,15,24
