DateTime,AddedIPs,RemovedIPs
1660213323,1,0
1660215722,1,0
1660216923,4,0
1660217523,1,0
1660217583,1,0
1660218722,2,0
1660220522,1,0
1660221123,1,0
1660222322,1,0
1660224123,4,0
1660226522,2,0
1660227123,1,0
1660227722,3,0
1660230122,7,0
1660230722,1,0
1660232523,3,0
1660233123,1,0
1660234922,1,0
1660237322,1,0
1660238522,1,0
1660239182,1,0
1660240923,2,0
1660241522,1,0
1660242122,1,0
1660244522,1,0
1660245723,3,0
1660246324,1,0
1660248123,2,0
1660249322,1,0
1660251122,4,0
1660252922,1,0
1660254722,2,0
1660256523,1,0
1660258922,1,0
1660259523,1,0
1660262522,3,0
1660263722,1,0
1660264381,1,0
1660266122,1,0
1660268522,1,0
1660270922,1,0
1660275722,1,0
1660277523,0,1
1660281122,0,2
1660281723,3,0
1660284122,1,0
1660285322,1,0
1660287722,1,0
1660291322,1,0
1660292523,4,0
1660293722,1,0
1660296723,3,0
1660298522,1,0
1660312922,1,0
1660315322,2,0
1660317122,1,0
1660318923,8,0
1660320122,2,0
1660320723,1,0
1660321322,2,0
1660322522,2,0
1660323723,1,0
1660324322,1,0
1660324922,4,0
1660326122,1,0
1660328522,9,0
1660329722,1,0
1660334522,3,0
1660335123,2,1
1660335723,1,0
1660336922,1,0
1660338123,6,0
1660338722,1,0
1660340522,1,0
1660342923,0,1
1660343583,1,3
1660346523,1,1
1660350782,1,0
1660351323,13,0
1660357322,1,0
1660362722,1,0
1660363922,2,0
1660371722,1,0
1660372923,3,0
1660374722,3,0
1660375981,1,0
1660376522,89,0
1660377722,9,0
1660378923,1,0
1660379584,2,0
1660383182,1,0
1660384922,1,0
1660387322,2,0
1660387922,1,0
1660388523,3,0
1660389122,4,0
1660389722,1,0
1660391523,1,0
1660393982,1,0
1660395122,4,0
1660396922,1,0
1660397583,1,0
1660398122,1,0
1660401123,1,0
1660407123,2,0
1660408382,0,1
1660410122,1,0
1660411323,4,0
1660412522,2,0
1660414922,1,0
1660416122,1,0
1660417322,1,0
1660417922,1,0
1660419722,1,0
1660420922,5,0
1660422122,1,0
1660423323,1,0
1660425122,2,0
1660428122,0,1
1660431722,3,0
1660432922,2,0
1660435322,73,1
1660435922,4,0
1660436523,1,0
1660438322,1,0
1660439523,1,0
1660441322,1,0
1660443122,1,0
1660444923,1,0
1660447322,1,0
1660449122,0,1
1660452122,0,1
1660455181,1,0
1660458122,1,0
1660459323,29,0
1660464123,1,0
1660465322,1,0
1660471922,1,0
1660474922,1,0
1660476122,1,0
1660482122,1,0
1660483322,1,0
1660485723,4,0
1660488122,5,0
1660490522,1,0
1660495323,3,0
1660496523,2,0
1660497723,9,0
1660498922,1,0
1660503122,2,0
1660503722,1,0
1660504322,1,0
1660504922,2,0
1660507323,1,0
1660509722,34,0
1660512123,2,0
1660513323,2,0
1660514522,1,0
1660519322,1,0
1660519981,1,0
1660521722,1,0
1660522923,3,0
1660524122,1,0
1660528922,3,0
1660529522,2,0
1660530122,1,0
1660531922,4,0
1660532522,1,0
1660535522,5,0
1660537322,2,0
1660538523,2,0
1660539722,1,0
1660540922,0,1
1660542122,1,0
1660542722,1,0
1660544522,1,0
1660545722,1,0
1660546922,2,0
1660549323,0,1
1660550522,2,1
1660554122,1,0
1660554722,1,0
1660555322,1,0
1660555982,24,0
1660557722,1,0
1660563722,1,0
1660564922,5,0
1660566122,1,0
1660569122,2,0
1660572122,1,0
1660572722,1,0
1660573322,1,1
1660575122,1,0
1660575722,1,0
1660579322,1,0
1660580521,1,0
1660585322,2,1
1660590122,1,0
1660591322,1,1
1660593122,2,0
1660594322,1,0
1660594922,2,0
1660598522,2,0
1660600322,1,0
1660602122,1,0
1660605722,2,0
1660608722,3,0
1660621922,2,0
1660624381,0,1
1660625521,7,1
1660626121,1,0
1660629122,1,0
1660629722,3,0
1660636922,1,0
1660639922,3,0
1660641722,2,0
1660642922,0,1
1660645922,1,0
1660648922,1,0
1660651922,1,1
1660656122,1,0
1660661522,1,0
1660662121,1,0
1660665722,1,1
1660668122,1,0
1660669922,9,0
1660670522,0,2
1660678922,1,0
1660679522,1,0
1660682522,1,0
1660683722,1,0
1660690322,0,1
1660692781,1,0
1660694522,1,0
1660695721,1,0
1660698122,2,0
1660702922,2,0
1660704122,1,0
1660705922,1,0
1660713122,28,0
1660713722,6,0
1660718522,1,0
1660725122,1,0
1660725723,1,0
1660727522,0,1
1660729922,1,0
1660733522,1,0
1660738922,1,0
1660741322,1,0
1660744922,2,0
1660747322,9,0
1660750922,3,0
1660751523,1,0
1660752122,1,0
1660758122,2,0
1660758722,2,0
1660760522,1,0
1660761722,1,0
1660762922,1,0
1660764122,1,0
1660765322,2,0
1660767723,1,0
1660768922,2,0
1660770122,7,0
1660771323,1,0
1660774322,1,0
1660776722,0,1
1660778522,12,0
1660779722,3,0
1660780922,0,1
1660782122,5,0
1660785122,1,0
1660788122,1,0
1660789322,1,0
1660791723,1,0
1660797722,2,0
1660802522,1,0
1660803722,1,0
1660806122,2,0
1660807322,2,0
1660809122,4,0
1660812722,1,0
