DateTime,AddedIPs,RemovedIPs
1660616522,1,2
1660617722,0,2
1660618322,0,12
1660619522,0,1
1660621922,2,0
1660622522,1,0
1660623121,1,1
1660623722,1,0
1660626121,2,1
1660626722,0,2
1660628522,1,0
1660629122,1,0
1660630322,0,3
1660633322,0,2
1660634522,0,1
1660635722,2,2
1660636922,3,0
1660637522,0,4
1660639322,0,2
1660639922,5,0
1660640522,1,0
1660641722,2,0
1660642922,0,6
1660643522,0,1
1660644122,0,1
1660645322,1,1
1660645922,1,0
1660648322,1,0
1660650722,2,0
1660651322,3,0
1660651922,0,1
1660653122,1,0
1660654321,2,2
1660656122,2,1
1660658521,2,0
1660659122,1,3
1660659721,1,0
1660661522,1,0
1660662121,1,0
1660663322,0,1
1660664522,0,1
1660665122,1,1
1660666322,1,0
1660666922,0,3
1660668122,1,1
1660668722,1,9
1660669322,1,3
1660670522,0,12
1660672922,0,1
1660673522,2,3
1660675322,3,0
1660678922,1,0
1660679522,2,1
1660680721,0,3
1660682522,2,0
1660683122,1,1
1660683722,1,0
1660684322,1,0
1660687322,1,1
1660687922,1,2
1660688522,2,2
1660689722,0,2
1660690922,1,1
1660692723,4,0
1660695122,2,3
1660696922,3,0
1660698122,1,0
1660699322,1,2
1660700522,0,3
1660701722,0,8
1660702922,2,0
1660704122,1,1
1660705322,1,0
1660705922,3,0
1660707722,1,1
1660708922,1,1
1660710122,0,1
1660711322,0,5
1660712522,2,0
1660713122,2,2
1660714922,0,1
1660716122,1,0
1660716722,0,1
1660717322,1,6
1660717922,1,0
1660720922,3,2
1660722122,1,0
1660722722,0,1
1660723322,1,4
1660724522,0,17
1660725122,1,0
1660725723,1,7
1660726322,1,0
1660726923,1,1
1660727522,0,1
1660728122,1,0
1660728722,1,2
1660729922,1,1
1660731722,0,1
1660732323,2,7
1660733522,2,0
1660734122,2,2
1660734722,1,0
1660735322,0,3
1660737722,0,2
1660738922,1,0
1660740122,2,2
1660740722,0,8
1660741322,4,0
1660741922,3,1
1660743122,0,1
1660744922,3,1
1660746722,2,0
1660747922,1,0
1660749122,0,1
1660750323,1,1
1660751523,4,0
1660752122,3,0
1660754522,1,10
1660756922,0,1
1660758122,3,5
1660758722,4,0
1660759922,0,1
1660760522,2,0
1660762922,1,0
1660764122,3,1
1660765322,2,5
1660766523,0,6
1660767122,1,0
1660767723,2,0
1660768922,3,1
1660770122,12,0
1660771323,5,3
1660772522,1,2
1660774322,2,4
1660774922,1,0
1660776722,1,4
1660777322,1,0
1660777922,1,5
1660779123,2,0
1660779722,4,2
1660780922,1,0
1660782122,1,0
1660783923,1,2
1660784523,2,3
1660785122,1,0
1660785722,1,0
1660786922,2,0
1660788122,0,1
1660789322,2,0
1660790522,1,9
1660791723,1,3
1660792323,1,0
1660794122,0,1
1660795322,2,0
1660796522,1,2
1660797122,1,1
1660797722,1,0
1660798322,1,0
1660799522,0,4
1660800122,2,0
1660801322,0,3
1660802522,2,0
1660803722,2,0
1660804922,4,0
1660806122,4,3
1660807322,3,1
1660809122,6,1
1660809722,2,0
1660810323,1,0
1660810922,0,3
1660811523,0,1
1660812722,0,3
1660813322,2,2
1660814522,0,5
1660815722,2,0
1660816922,1,0
1660818122,1,2
1660818722,1,0
1660819322,2,0
1660820522,1,0
1660821722,2,1
1660822922,1,3
1660824122,1,1
1660825322,0,4
1660826522,3,0
1660827722,4,1
1660828923,2,0
1660829523,1,0
1660830122,1,0
1660831322,1,0
1660832522,1,5
1660833122,1,0
1660833722,1,5
1660834322,1,0
1660834922,3,0
1660836122,2,2
1660837322,3,0
1660837922,2,0
1660838522,2,0
1660839722,1,0
1660840922,0,1
1660842122,0,9
1660843322,1,2
1660844522,2,0
1660845122,4,0
1660846323,1,0
1660848122,4,4
1660849322,14,2
1660850522,3,0
1660851723,4,0
1660852322,2,1
1660852922,1,0
1660854122,0,1
1660855322,4,0
1660856522,3,1
1660857122,3,7
1660858323,10,0
1660858922,1,0
1660859522,0,1
1660861322,1,1
1660861923,1,0
1660862523,1,1
1660864922,1,0
1660865523,0,12
1660867323,0,1
1660868523,4,1
1660872123,1,0
1660872723,1,0
1660873323,0,13
1660874522,1,1
1660875122,3,2
1660875722,2,1
1660876922,3,0
1660878122,2,0
1660879322,3,11
1660880523,0,1
1660882322,2,3
1660883523,1,0
1660884122,1,0
1660885322,0,1
1660886556,2,0
1660887177,0,2
1660887722,1,0
1660888923,3,1
1660889522,1,0
1660890722,1,0
1660891924,0,2
1660893122,3,0
1660894322,1,2
1660894922,1,0
1660895522,2,0
1660896122,4,0
1660896722,1,1
1660897922,3,0
1660898522,1,0
1660899722,2,0
1660900922,3,1
1660901522,1,6
1660903322,1,0
1660904522,3,5
1660905122,3,0
1660905722,1,5
1660906322,4,0
1660906922,1,0
1660907522,0,3
1660908723,4,0
1660909322,0,5
1660910522,1,2
1660911122,4,0
1660912322,1,1
1660914122,2,8
1660915323,2,2
1660915922,4,0
1660916522,1,0
1660917122,3,0
1660917722,3,0
1660918322,1,0
1660919523,0,1
1660920122,3,0
1660921323,3,2
1660922522,1,6
1660923123,1,0
1660924322,8,1
1660924922,4,0
1660926723,3,1
1660927922,0,1
1660928522,1,1
1660930923,5,7
1660933322,1,2
1660934522,1,2
1660935722,1,2
1660936922,3,0
1660938122,2,6
1660938722,4,0
1660939322,2,0
1660939922,1,0
1660941722,2,0
1660942922,3,0
1660943522,3,1
1660944722,3,0
1660947722,5,6
1660948322,1,0
1660948922,0,2
1660950122,0,1
1660950723,2,1
1660951922,2,0
1660952522,3,5
1660953722,2,1
1660954922,2,0
1660955522,0,2
1660956123,7,0
1660956722,1,8
1660957322,2,0
1660957922,1,0
1660959722,1,0
1660960322,3,0
1660960922,2,0
1660962122,3,0
1660962723,3,2
1660963922,9,0
1660964522,4,6
1660965122,2,0
1660966922,0,1
1660968122,1,0
1660969323,4,1
1660970523,3,0
1660971722,1,2
1660974122,1,3
1660974722,1,1
1660976522,1,0
1660977123,0,1
1660980122,0,2
1660981322,1,7
1660984922,0,2
1660986122,0,1
1660987922,2,7
1660988523,1,0
1660989722,3,1
1660990923,1,0
1660992122,1,5
1660993322,3,1
1660994522,2,7
1660995723,4,2
1660996923,3,1
1660998122,1,0
1660999323,2,1
1661001122,2,0
1661002323,2,0
1661003523,1,0
1661004122,2,0
1661004722,2,0
1661005322,1,0
1661006522,1,0
1661008922,1,0
1661010122,1,0
1661010722,0,1
1661011322,1,0
1661012522,1,1
1661013723,1,0
1661014922,4,3
1661015522,0,3
1661017323,3,6
1661018522,2,0
1661020922,2,0
1661021522,1,0
1661022122,2,0
1661023323,5,0
1661023923,6,3
1661025122,0,1
1661025722,1,0
1661026322,2,0
1661027523,1,1
1661028122,1,0
1661028723,7,0
1661030522,0,1
1661031722,2,0
1661032922,2,1
1661033522,1,0
1661034122,0,1
1661034723,1,3
1661036523,1,2
1661037122,1,0
1661037723,5,0
1661038323,4,0
1661038923,20,0
1661039522,4,0
1661041322,2,0
1661042523,5,0
1661043122,1,0
1661044922,0,1
1661046722,1,3
1661047922,2,0
1661048522,5,1
1661049722,0,1
1661050922,1,4
1661052122,0,1
1661053322,0,1
1661054522,0,4
1661055723,0,3
1661056922,3,0
1661058122,1,0
1661058723,2,0
1661059322,1,0
1661059922,2,1
1661060522,2,4
1661061722,2,0
1661062924,19,1
1661064122,4,0
1661064723,5,1
1661067123,0,1
1661069522,2,0
1661070127,4,0
1661070723,3,1
1661071322,2,0
1661072522,4,3
1661073723,64,0
1661074923,4,0
1661076122,1,5
1661076722,1,2
1661077922,2,0
1661078523,2,0
1661079723,7,2
1661080922,20,0
1661081523,6,0
1661082123,5,0
1661084522,1,0
1661085123,1,0
1661085722,1,1
1661086322,1,0
1661086922,0,3
1661087522,0,3
1661088122,2,0
1661089322,2,1
1661090522,0,2
1661091123,7,0
1661091722,8,3
1661092922,8,5
1661094122,2,9
1661094722,0,1
1661095922,1,0
1661097122,7,0
1661097722,5,0
1661098322,3,0
1661100122,5,0
1661100722,2,0
1661101322,8,1
1661103123,8,0
1661103722,1,1
1661104322,0,2
1661106122,2,0
1661106723,3,0
1661107922,4,0
1661108522,5,0
1661109722,2,2
1661110322,1,0
1661110923,2,0
1661112122,1,5
1661113322,8,0
1661113922,1,0
1661116323,1,0
1661116922,1,1
1661118722,1,3
1661120522,3,0
1661121122,0,1
1661122923,2,0
1661124122,3,0
1661124723,5,0
1661126523,2,5
1661127722,2,0
1661128322,1,0
1661128922,0,2
1661132522,4,0
1661133122,1,0
1661134922,0,3
1661136722,1,1
1661137322,0,1
1661138522,1,0
1661139722,0,1
1661142122,4,0
1661142723,1,0
1661143322,1,0
1661143922,1,0
1661144523,1,5
1661146923,1,0
1661148122,2,0
1661148722,1,0
1661149322,0,1
1661150522,4,2
1661151722,2,0
1661152322,0,1
1661152922,1,0
1661154122,1,1
1661155322,1,1
1661155923,1,1
1661156522,0,1
1661157722,1,1
1661160122,7,0
1661162522,1,1
1661163722,2,0
