DateTime,AddedIPs,RemovedIPs
1659542394,328,0
1659545995,161,0
1659546894,47,0
1659551394,210,0
1659555894,157,0
1659557694,109,0
1659559494,118,0
1659563995,194,0
1659566694,64,0
1659567594,36,0
1659571194,102,4298
1659572094,49,0
1659572994,28,0
1659574794,80,0
1659577494,119,0
1659584695,272,0
1659588294,128,0
1659589195,37,0
1659592794,190,0
1659596394,198,0
1659598194,94,0
1659599994,73,0
1659601794,90,0
1659602694,41,0
1659606294,165,0
1659609894,159,0
1659610794,49,0
1659614394,165,0
1659617994,246,0
1659621595,258,0
1659625194,181,0
1659627895,138,0
1659632395,199,0
1659635994,151,0
1659638694,91,0
1659639594,42,0
1659643194,155,0
1659646795,96,0
1659647695,46,0
1659650394,97,0
1659652194,61,0
1659654894,104,0
1659659394,146,4100
1659665694,215,0
1659669294,140,0
1659677394,264,0
1659678294,33,0
1659679195,30,0
1659680994,60,0
1659688194,252,0
1659689094,27,0
1659691794,125,0
1659696293,209,0
1659698994,119,0
1659702594,213,0
1659703495,44,0
1659706194,111,0
1659711594,259,0
1659714294,83,0
1659716994,115,0
1659717894,32,0
1659721494,125,0
1659723294,47,0
1659725094,78,0
1659729594,133,0
1659732294,65,0
1659739495,208,0
1659741294,44,0
1659744894,101,4156
1659746693,61,0
1659748494,65,0
1659751194,106,0
1659757494,243,0
1659761094,131,0
1659765594,193,0
1659769194,139,0
1659772794,204,0
1659779994,262,0
1659787194,499,0
1659791694,178,0
1659796194,175,0
1659799794,135,0
1659800694,39,0
1659803394,76,0
1659806094,90,0
1659807893,45,0
1659811494,117,0
1659815993,147,0
1659819594,103,0
1659823194,123,0
1659826794,88,0
1659830394,107,3432
1659833994,126,0
1659841194,290,0
1659843894,105,0
1659847494,134,0
1659850193,78,0
1659853793,142,0
1659858294,181,0
1659860994,105,0
1659863694,95,0
1659865494,79,0
1659868193,85,0
1659869994,71,0
1659875394,186,0
1659877193,119,0
1659880794,142,0
1659883493,123,0
1659884394,29,0
1659890693,277,0
1659892494,60,0
1659894294,56,0
1659895193,23,0
1659901494,249,0
1659904193,106,0
1659907793,122,0
1659909594,65,0
1659913194,115,0
1659916795,118,3273
1659919494,116,0
1659922193,100,0
1659923094,43,0
1659924894,69,0
1659926693,77,0
1659930294,134,0
1659934794,158,0
1659941094,362,0
1659946494,328,0
1659947394,49,0
1659949194,102,0
1659952794,171,0
1659956394,189,0
1659959993,155,0
1659963594,213,0
1659964494,34,0
1659967194,106,0
1659970795,165,0
1659978894,373,0
1659982493,162,0
1659986094,199,0
1659989694,171,0
1659994194,213,0
1660001395,283,0
1660004994,96,3188
1660009493,208,0
1660010394,55,0
1660012194,70,0
1660013994,77,0
1660017594,214,0
1660021194,240,0
1660024794,216,0
1660028394,188,0
1660033793,286,0
1660038293,263,0
1660040094,101,0
1660046394,326,0
1660049093,129,0
1660052694,219,0
1660053593,42,0
1660056293,107,0
1660063493,346,0
1660065293,68,0
1660067094,77,0
1660067993,31,0
1660071593,127,0
1660073393,57,0
1660076093,135,0
1660078793,129,0
1660080593,56,0
1660082393,52,0
1660084194,68,0
1660085994,53,0
1660088693,92,0
1660095894,232,3747
1660100394,190,0
1660107594,297,0
1660111193,141,0
1660113894,125,0
1660115694,80,0
1660119294,129,0
1660122894,196,0
1660130094,380,0
1660135494,346,0
1660137294,123,0
1660139094,105,0
1660146294,369,0
1660154394,343,0
1660161594,400,0
1660166094,151,0
1660173293,227,0
1660176893,117,4248
1660178693,68,0
1660181394,108,0
1660183194,47,0
1660184994,72,0
1660186793,83,0
1660188594,63,0
1660190393,66,0
1660193094,87,0
